time,corr1,corr2,corr3,corr4,corr5,corr6,corr7,corr8,corr9,corr10,corr11,corr12,corr13,corr14,corr15,corr16,corr17,corr18,corr19,corr20,corr21,corr22,corr23,corr24,corr25,corr26,corr27,corr28,corr29,corr30,corr31,corr32,corr33,corr34,corr35,corr36,corr37,corr38,corr39,corr40,corr41,corr42,corr43,corr44,corr45,corr46,corr47,corr48,corr49,corr50,corr51,corr52,corr53,corr54,corr55,corr56,corr57,corr58,corr59,corr60,corr61,corr62,corr63,corr64,corr65,corr66,corr67,corr68,corr69,corr70,corr71,corr72,corr73,corr74,corr75,corr76,corr77,corr78,corr79,corr80,corr81,corr82,corr83,corr84,corr85,corr86,corr87,corr88,corr89,corr90,corr91,corr92,corr93,corr94,corr95,corr96,corr97,corr98,corr99,corr100,sum
0.0,5.197505197505197,4.095004095004095,0.0,0.0,0.0,0.0,9.191176470588236,0.0,3.287310979618672,0.0,0.0,0.0,0.0,0.0,3.0525030525030523,3.0525030525030523,0.0,0.0,0.0,0.0,5.005005005005005,4.222972972972973,6.25,3.561253561253561,0.0,0.0,3.875968992248062,3.561253561253561,3.1269543464665412,8.680555555555555,3.5561877667140824,0.0,0.0,0.0,3.918495297805643,0.0,3.4199726402188784,0.0,4.329004329004329,0.0,0.0,0.0,0.0,10.75268817204301,2.651113467656416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.904761904761903,0.0,0.0,0.0,4.456327985739751,0.0,0.0,0.0,0.0,0.0,5.411255411255412,0.0,0.0,5.1020408163265305,0.0,10.452961672473867,2.604166666666667,6.127450980392157,0.0,7.407407407407408,0.0,0.0,0.0,2.469135802469136,3.0864197530864197,6.3938618925831205,3.306878306878307,0.0,0.0,7.770007770007769,4.095004095004095,0.0,0.0,7.936507936507937,0.0,0.0,3.8850038850038855,0.0,3.584229390681004,0.0,0.0,0.0,4.873294346978557,4.1806020066889635,0.0,0.0,0.0,0.0,199.83474654683283
0.01,0.0,4.095004095004095,2.6455026455026456,0.0,0.0,0.0,4.595588235294118,0.0,0.0,0.0,0.0,0.0,0.0,3.654970760233918,0.0,0.0,0.0,4.2087542087542085,3.90625,4.0849673202614385,0.0,4.222972972972973,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.926108374384237,4.826254826254826,0.0,0.0,5.611672278338945,0.0,2.9904306220095696,0.0,0.0,0.0,0.0,4.456327985739751,4.1118421052631575,0.0,0.0,5.411255411255412,0.0,6.583278472679394,0.0,4.761904761904762,0.0,0.0,3.0637254901960786,3.484320557491289,2.469135802469136,0.0,0.0,3.652300949598247,2.469135802469136,3.0864197530864197,0.0,3.306878306878307,3.0921459492888066,0.0,11.655011655011654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.746588693957113,0.0,0.0,4.0849673202614385,3.90625,0.0,139.9895949861907
0.02,0.0,0.0,0.0,0.0,7.94912559618442,0.0,4.595588235294118,0.0,3.287310979618672,0.0,0.0,0.0,0.0,0.0,3.0525030525030523,0.0,3.858024691358025,0.0,0.0,0.0,0.0,4.222972972972973,0.0,0.0,0.0,3.770739064856712,0.0,0.0,3.1269543464665412,0.0,0.0,0.0,4.62962962962963,0.0,3.918495297805643,0.0,0.0,0.0,0.0,3.8819875776397517,0.0,0.0,0.0,10.75268817204301,0.0,0.0,0.0,4.926108374384237,4.826254826254826,0.0,0.0,5.611672278338945,0.0,0.0,6.868131868131868,0.0,0.0,0.0,4.456327985739751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.469135802469136,0.0,0.0,3.306878306878307,0.0,0.0,0.0,0.0,2.651113467656416,0.0,0.0,4.0849673202614385,0.0,0.0,0.0,0.0,0.0,4.385964912280701,6.775067750677507,0.0,4.1806020066889635,0.0,0.0,0.0,3.97456279809221,115.56280731422684
0.03,0.0,0.0,0.0,0.0,0.0,5.4945054945054945,0.0,4.5167118337850045,6.574621959237344,0.0,0.0,0.0,0.0,0.0,3.0525030525030523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,7.122507122507122,4.385964912280701,0.0,0.0,3.561253561253561,0.0,0.0,3.5561877667140824,3.1269543464665412,0.0,4.844961240310078,3.918495297805643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.561253561253561,0.0,2.651113467656416,0.0,3.0599755201958385,0.0,0.0,0.0,0.0,0.0,0.0,2.9904306220095696,20.604395604395602,0.0,0.0,0.0,0.0,4.1118421052631575,0.0,3.561253561253561,0.0,0.0,0.0,0.0,0.0,3.484320557491289,0.0,3.0637254901960786,0.0,0.0,4.743833017077799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095004095004095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.873294346978557,0.0,0.0,4.0849673202614385,0.0,0.0,121.2900758564056
0.04,0.0,0.0,0.0,4.222972972972973,0.0,0.0,0.0,0.0,0.0,4.5787545787545785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90625,0.0,0.0,8.445945945945946,0.0,0.0,8.771929824561402,0.0,0.0,0.0,0.0,4.340277777777778,0.0,0.0,4.62962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.926108374384237,0.0,0.0,3.2959789057350033,0.0,0.0,5.980861244019139,0.0,0.0,0.0,0.0,0.0,4.1118421052631575,0.0,3.561253561253561,5.411255411255412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0864197530864197,0.0,0.0,0.0,0.0,0.0,4.095004095004095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.385964912280701,0.0,0.0,0.0,0.0,0.0,0.0,3.97456279809221,81.72501189001623
0.05,0.0,0.0,2.6455026455026456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409171075837742,0.0,0.0,3.654970760233918,0.0,0.0,0.0,0.0,0.0,0.0,5.005005005005005,0.0,0.0,0.0,0.0,3.770739064856712,3.875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,4.844961240310078,0.0,0.0,3.4199726402188784,4.409171075837743,0.0,7.763975155279503,0.0,0.0,0.0,5.376344086021505,0.0,4.537205081669692,0.0,0.0,0.0,0.0,0.0,0.0,5.952380952380952,0.0,0.0,5.040322580645161,0.0,0.0,0.0,4.1118421052631575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.484320557491289,0.0,0.0,0.0,3.652300949598247,2.469135802469136,0.0,0.0,3.306878306878307,0.0,0.0,3.8850038850038846,0.0,2.651113467656416,4.385964912280701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.873294346978557,0.0,12.51564455569462,0.0,0.0,3.97456279809221,114.0157520434541
0.06,0.0,0.0,5.291005291005291,4.222972972972973,3.97456279809221,0.0,4.595588235294118,4.5167118337850045,0.0,0.0,4.409171075837742,0.0,0.0,0.0,0.0,3.0525030525030523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.385964912280701,0.0,0.0,0.0,3.1269543464665412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409171075837743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1118421052631575,0.0,0.0,0.0,0.0,3.291639236339697,5.1020408163265305,4.6082949308755765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0921459492888066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.102272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.29284135944187
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5787545787545785,4.409171075837742,3.654970760233918,0.0,0.0,3.0525030525030523,0.0,0.0,0.0,0.0,0.0,5.005005005005005,0.0,0.0,0.0,0.0,0.0,7.751937984496124,3.561253561253561,0.0,0.0,7.112375533428165,0.0,0.0,0.0,0.0,0.0,3.4199726402188784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.651113467656416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.411255411255412,3.987240829346092,0.0,0.0,0.0,3.484320557491289,0.0,0.0,3.484320557491289,2.469135802469136,0.0,0.0,0.0,0.0,3.0864197530864197,0.0,0.0,0.0,0.0,3.8850038850038846,8.19000819000819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97456279809221,83.16932544363135
0.08,5.197505197505197,0.0,0.0,0.0,0.0,0.0,4.595588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.105006105006105,3.9682539682539684,4.095004095004095,0.0,0.0,0.0,0.0,0.0,3.561253561253561,0.0,0.0,0.0,0.0,0.0,4.340277777777778,0.0,3.1269543464665412,0.0,0.0,0.0,5.555555555555555,3.4199726402188784,0.0,0.0,3.8819875776397517,0.0,0.0,0.0,0.0,0.0,0.0,3.0599755201958385,0.0,4.826254826254826,4.743833017077799,6.591957811470007,0.0,0.0,0.0,0.0,0.0,4.325259515570934,3.3222591362126246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.484320557491289,5.208333333333334,6.25782227784731,0.0,0.0,4.743833017077799,0.0,0.0,0.0,0.0,3.1969309462915603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.102272727272727,0.0,3.3875338753387534,0.0,0.0,6.25782227784731,0.0,0.0,0.0,114.35576789925766
0.09,0.0,0.0,0.0,0.0,0.0,0.0,4.595588235294118,0.0,0.0,0.0,0.0,0.0,0.0,3.654970760233918,0.0,0.0,3.9682539682539684,0.0,0.0,0.0,0.0,4.222972972972973,0.0,0.0,4.385964912280701,0.0,3.875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.329004329004329,3.8819875776397517,4.385964912280701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.743833017077799,0.0,5.611672278338945,0.0,0.0,0.0,5.040322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.987240829346092,3.291639236339697,0.0,4.6082949308755765,0.0,5.208333333333334,0.0,0.0,2.469135802469136,0.0,0.0,0.0,0.0,0.0,0.0,3.306878306878307,0.0,0.0,0.0,0.0,2.651113467656416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.385964912280701,0.0,0.0,4.1806020066889635,0.0,0.0,0.0,0.0,86.78570736213864
